mode,value,method,fold,n_test,mae,rmse
onshore,scalar,nearest,0,4564,0.14718798902373037,0.42714800575542466
onshore,scalar,nearest,1,12246,0.14822881381068687,0.24168603191665786
onshore,scalar,nearest,2,4994,0.15838070452040573,0.2753074265215284
onshore,scalar,nearest,3,9014,0.1379714577669892,0.23994411355066889
onshore,scalar,nearest,4,6875,0.1463947079477794,0.2714764379160971
onshore,scalar,idw,0,4564,0.13351145385304417,0.40850150961173015
onshore,scalar,idw,1,12246,0.14189072293652055,0.22798914128827055
onshore,scalar,idw,2,4994,0.1452336833341626,0.2547589517469348
onshore,scalar,idw,3,9014,0.13490217563606863,0.2313190118865483
onshore,scalar,idw,4,6875,0.14457046271976903,0.26917267659067884
onshore,scalar,rbf,0,4564,0.4153521601717154,0.6135811973993015
onshore,scalar,rbf,1,12246,0.43046795432949897,0.6300606991429263
onshore,scalar,rbf,2,4994,0.4320812295584279,0.6231163620836568
onshore,scalar,rbf,3,9014,0.5085937025277386,0.768252420651901
onshore,scalar,rbf,4,6875,0.5796398866255932,0.8390722591490053
onshore,scalar,ok,0,4564,0.1633793276314112,0.412487632228053
onshore,scalar,ok,1,12246,0.1580696681591311,0.2541954756743011
onshore,scalar,ok,2,4994,0.1463011257252786,0.24792019134050458
onshore,scalar,ok,3,9014,0.14190823534571595,0.2319548602504725
onshore,scalar,ok,4,6875,0.14146697508265277,0.25469695152170496
onshore,offset,nearest,0,4564,0.14095189552320717,0.4016440418773763
onshore,offset,nearest,1,12246,0.5216585898454253,0.910325274454662
onshore,offset,nearest,2,4994,0.44871288491724115,0.7879032216871097
onshore,offset,nearest,3,9014,0.39568812175215196,0.7694747460547942
onshore,offset,nearest,4,6875,0.519374369186819,1.0276121055261553
onshore,offset,idw,0,4564,0.11504072281447583,0.34028530703160015
onshore,offset,idw,1,12246,0.4924187592497784,0.8651022007031374
onshore,offset,idw,2,4994,0.44108320243790483,0.7769144431510806
onshore,offset,idw,3,9014,0.36530549619477487,0.6922316897852742
onshore,offset,idw,4,6875,0.5154263281214724,1.0228048457388987
onshore,offset,rbf,0,4564,5.123348299211948,17.47109828846488
onshore,offset,rbf,1,12246,1.4453380548402288,8.490890977897356
onshore,offset,rbf,2,4994,0.7689597383842429,3.106741360372663
onshore,offset,rbf,3,9014,1.3301341842711982,3.2206657492290933
onshore,offset,rbf,4,6875,1.4532621975271296,3.449771856511557
onshore,offset,ok,0,4564,0.16001665735824167,0.4112872475139534
onshore,offset,ok,1,12246,0.5323553659055288,0.946136597688539
onshore,offset,ok,2,4994,0.42884984628323003,0.7403342432390322
onshore,offset,ok,3,9014,0.3983026596406431,0.744536087192514
onshore,offset,ok,4,6875,0.48305106553373167,0.9233721252633766
offshore,scalar,nearest,0,255,0.03540998163103142,0.057535175543167096
offshore,scalar,nearest,1,502,0.21080149629343262,0.35640448524101526
offshore,scalar,nearest,2,1436,0.31586640134921545,0.43135541460128407
offshore,scalar,nearest,3,431,0.23630037421916747,0.3951627169705618
offshore,scalar,nearest,4,499,0.5901131992797779,0.6511439297257636
offshore,scalar,idw,0,255,0.015853835490616645,0.02735338481201916
offshore,scalar,idw,1,502,0.19931033406125376,0.35344969037108015
offshore,scalar,idw,2,1436,0.31586640134921545,0.43135541460128407
offshore,scalar,idw,3,431,0.23670418663557144,0.39506363004253375
offshore,scalar,idw,4,499,0.5924080198146641,0.6515534796742009
offshore,scalar,rbf,0,255,0.7454669414825695,0.9948072920802977
offshore,scalar,rbf,1,502,0.057433122249458304,0.06493231988890051
offshore,scalar,rbf,2,1436,1.1103045364987487,1.30806944849401
offshore,scalar,rbf,3,431,0.9132082915850891,1.1782075837890675
offshore,scalar,rbf,4,499,0.9781959498524467,1.059499905412979
offshore,scalar,ok,0,255,0.014025273921890314,0.025598573273295636
offshore,scalar,ok,1,502,0.1499200555360369,0.22413476634130225
offshore,scalar,ok,2,1436,0.33765825816301137,0.4402452965256304
offshore,scalar,ok,3,431,0.19297738005629064,0.3828904606393345
offshore,scalar,ok,4,499,0.44616195682704124,0.5239591380576891
offshore,offset,nearest,0,255,0.06392191266257088,0.11404615609082108
offshore,offset,nearest,1,502,0.2164114696686253,0.3235191276409103
offshore,offset,nearest,2,1436,0.6615586844941005,0.8844345669474981
offshore,offset,nearest,3,431,0.653812026383606,1.0015340713075638
offshore,offset,nearest,4,499,1.7437991326382156,1.815390280791917
offshore,offset,idw,0,255,0.032370423426177915,0.06994531783246527
offshore,offset,idw,1,502,0.1945699787493549,0.3138757045869353
offshore,offset,idw,2,1436,0.6615586844941005,0.884434566947498
offshore,offset,idw,3,431,0.6750015677384669,1.0022729657862623
offshore,offset,idw,4,499,1.7545929598774428,1.8186517631954637
offshore,offset,rbf,0,255,0.24317253600793093,0.6648181406151583
offshore,offset,rbf,1,502,5.021367514288673,6.599213980936337
offshore,offset,rbf,2,1436,5.445026861009212,7.383385810682808
offshore,offset,rbf,3,431,6.039165261478811,10.2150766943948
offshore,offset,rbf,4,499,1.5622827984326266,1.8277784566779054
offshore,offset,ok,0,255,0.033037018864063725,0.06824195017299488
offshore,offset,ok,1,502,0.162647603724565,0.19639961330383512
offshore,offset,ok,2,1436,0.5670155782292199,0.7812351540696674
offshore,offset,ok,3,431,0.4309144437794082,0.8174363461224121
offshore,offset,ok,4,499,1.3011843790644637,1.431482521477108
