mode,value,method,mae,rmse
offshore,offset,ok,0.49895980473234414,0.6589591170292035
offshore,offset,idw,0.6636187228571087,0.8178360636697249
offshore,offset,nearest,0.6679006451694237,0.8277848405557421
offshore,offset,rbf,3.662202994243451,5.338054616661402
offshore,scalar,ok,0.22814858490085407,0.31936564696745035
offshore,scalar,idw,0.2720285554702643,0.3717551199002236
offshore,scalar,nearest,0.277698290554525,0.37832034441635837
offshore,scalar,rbf,0.7609217683336624,0.921103309933051
onshore,offset,idw,0.3858549017636813,0.7394676972819981
onshore,offset,ok,0.4005151189442751,0.753133260179483
onshore,offset,nearest,0.40527717224496895,0.7793918779200195
onshore,offset,rbf,2.0242084948469494,7.14783364649511
onshore,scalar,idw,0.140021699695913,0.27834825822483256
onshore,scalar,ok,0.15022506638883792,0.28025102220300724
onshore,scalar,nearest,0.1476327346139183,0.2911124031320754
onshore,scalar,rbf,0.4732269866425948,0.6948165876853583
